service,speaker,utterance,state,HR_message,Employee_message,entities
time_off_report,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[""HR Assistant: No problem, I'm happy to help. How many days total will you be taking off?  "", ""Employee: I'll be taking 8 days of vacation leave."", 'HR Assistant: Okay, great. What type of time off are you looking to use - vacation, sick leave, or a personal day?', ""Employee: I'd like to use my vacation days."", 'HR Assistant: No problem. Will you be available at all during your time away or will you be completely unreachable?', ""Employee: I'll have limited availability via email."", ""HR Assistant: That's understandable. Is there any particular reason you're taking the time off? You don't have to provide details if you'd rather keep it private. Also, is there anything else I should know about the request?"", ""Employee: It's just a planned vacation. There's nothing else to note."", 'HR Assistant: Perfect. Before I submit this, could you provide an email address I can use as an emergency contact?', 'Employee: You can use my work email.', ""HR Assistant: Almost done! Have you arranged for coverage of your job duties while you're gone?"", 'Employee: Yes, my coworkers have agreed to cover for me.  ', 'HR Assistant: Great, thanks. Last couple questions - when will your vacation end so I have an return date? Also, have you taken any other time off recently I should be aware of?', 'Employee: My vacation will end on June 22nd, 2023. I have not taken any other time off lately.', ""HR Assistant: Perfect, just one last thing - when does your vacation start? I'll need a start date to complete the request."", 'Employee: My vacation will start on June 15th, 2023.']","[{'total_days_off': '8'}, {'type_of_time_off': 'vacation'}, {'contact_availability': 'limited availability'}, {'reason_for_time_off': 'planned vacation', 'additional_notes': 'nothing else to note'}, {'emergency_contact_info': 'You can use my work email'}, {'work_handover_details': 'my coworkers'}, {'end_date': 'June 22nd, 2023', 'previous_time_off': 'June 22nd, 2023'}, {'start_date': 'June 15th, 2023'}]","[""No problem, I'm happy to help. How many days total will you be taking off?"", 'Okay, great. What type of time off are you looking to use - vacation, sick leave, or a personal day?', 'No problem. Will you be available at all during your time away or will you be completely unreachable?', ""That's understandable. Is there any particular reason you're taking the time off? You don't have to provide details if you'd rather keep it private. Also, is there anything else I should know about the request?"", 'Perfect. Before I submit this, could you provide an email address I can use as an emergency contact?', ""Almost done! Have you arranged for coverage of your job duties while you're gone?"", 'Great, thanks. Last couple questions - when will your vacation end so I have an return date? Also, have you taken any other time off recently I should be aware of?', ""Perfect, just one last thing - when does your vacation start? I'll need a start date to complete the request.""]","[""I'll be taking 8 days of vacation leave."", ""I'd like to use my vacation days."", ""I'll have limited availability via email."", ""It's just a planned vacation. There's nothing else to note."", 'You can use my work email.', 'Yes, my coworkers have agreed to cover for me.', 'My vacation will end on June 22nd, 2023. I have not taken any other time off lately.', 'My vacation will start on June 15th, 2023.']","{'total_days_off': '8', 'type_of_time_off': 'vacation', 'contact_availability': 'limited availability', 'reason_for_time_off': 'planned vacation', 'additional_notes': 'nothing else to note', 'emergency_contact_info': 'You can use my work email', 'work_handover_details': 'my coworkers', 'end_date': 'June 22nd, 2023', 'previous_time_off': 'June 22nd, 2023', 'start_date': 'June 15th, 2023'}"
time_off_report,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[""HR Assistant: No problem, when were you thinking of starting your time away? And have you found folks to cover for you while you're gone?"", ""Employee: I'm looking to start my vacation on June 1st, 2023. My coworkers have agreed to take on my responsibilities in my absence.  "", 'HR Assistant: Got it. What kind of break are you hoping to take - vacation, sick leave, personal day?  ', 'Employee: I would like to request vacation time off.', 'HR Assistant: Okay, great. Can I get your email in case anything comes up? Also, how many days total will you be out of the office?', 'Employee: You can reach me by email only. I will be taking 15 days off.', ""HR Assistant: No worries. Is there anything else I should know about your time off? Also, is there a reason you're taking the time, or is it just for rest and relaxation? You don't have to say if you'd rather keep it private."", 'Employee: There is no other information needed. I am taking this time to relax and recharge.', ""HR Assistant: That's totally understandable - we all need a break sometimes. Will you have any availability just in case something comes up, or do you plan to be fully disconnected? Also, have you had any other time off recently I should be aware of?  "", 'Employee: I will have limited availability during my vacation. I have not taken any other time off recently.', 'HR Assistant: Almost there - when do you plan to return to work?', 'Employee: I will return to work on June 15th, 2023.']","[{'start_date': 'June 1st, 2023', 'work_handover_details': 'My coworkers'}, {'type_of_time_off': 'vacation'}, {'emergency_contact_info': 'email', 'total_days_off': '15'}, {'additional_notes': 'no other information needed', 'reason_for_time_off': 'I am taking this time to relax and recharge'}, {'contact_availability': 'limited', 'previous_time_off': 'I have not taken any other time off recently'}, {'end_date': 'June 15th, 2023'}]","[""No problem, when were you thinking of starting your time away? And have you found folks to cover for you while you're gone?"", 'Got it. What kind of break are you hoping to take - vacation, sick leave, personal day?', 'Okay, great. Can I get your email in case anything comes up? Also, how many days total will you be out of the office?', ""No worries. Is there anything else I should know about your time off? Also, is there a reason you're taking the time, or is it just for rest and relaxation? You don't have to say if you'd rather keep it private."", ""That's totally understandable - we all need a break sometimes. Will you have any availability just in case something comes up, or do you plan to be fully disconnected? Also, have you had any other time off recently I should be aware of?"", 'Almost there - when do you plan to return to work?']","[""I'm looking to start my vacation on June 1st, 2023. My coworkers have agreed to take on my responsibilities in my absence."", 'I would like to request vacation time off.', 'You can reach me by email only. I will be taking 15 days off.', 'There is no other information needed. I am taking this time to relax and recharge.', 'I will have limited availability during my vacation. I have not taken any other time off recently.', 'I will return to work on June 15th, 2023.']","{'start_date': 'June 1st, 2023', 'work_handover_details': 'My coworkers', 'type_of_time_off': 'vacation', 'emergency_contact_info': 'email', 'total_days_off': '15', 'additional_notes': 'no other information needed', 'reason_for_time_off': 'I am taking this time to relax and recharge', 'contact_availability': 'limited', 'previous_time_off': 'I have not taken any other time off recently', 'end_date': 'June 15th, 2023'}"
time_off_report,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","['HR Assistant: No problem, when does your time off end? I want to make sure I have all the details correct.', 'Employee: My time off will end on June 15th, 2023.', ""HR Assistant: Okay, got it. Have you taken any other time recently? If so, could you let me know the details? Also, have you arranged for someone to cover your work while you're gone?"", 'Employee: I have not taken any recent leave. John will cover my responsibilities.  ', ""HR Assistant: Great, thanks for letting me know. One last thing, what's the best way to contact you in case of an emergency? Also, when does this time off period start?"", 'Employee: You can contact me by email only. My time off will start on June 1st, 2023.', 'HR Assistant: No problem. How many total days will you be taking off?', 'Employee: I will be taking 15 days off.', 'HR Assistant: Almost done! What type of time off are you requesting - vacation, sick leave, personal day? Also, will you be available at all during your time off in case we need to reach you?', 'Employee: I am requesting vacation leave. I will have limited availability during my time off.', ""HR Assistant: Okay, just one more question. What is the reason for your time off? You don't have to provide one, but it may be needed for certain types of leave. Also, is there any other information you need to include?"", 'Employee: The reason for my time off is a family trip. There is no additional information to include.']","[{'end_date': 'June 15th, 2023'}, {'previous_time_off': 'I have not taken any recent leave', 'work_handover_details': 'John will cover my responsibilities'}, {'emergency_contact_info': 'email', 'start_date': 'June 1st, 2023'}, {'total_days_off': '15'}, {'type_of_time_off': 'vacation leave', 'contact_availability': 'limited'}, {'reason_for_time_off': 'a family trip', 'additional_notes': 'no'}]","['No problem, when does your time off end? I want to make sure I have all the details correct.', ""Okay, got it. Have you taken any other time recently? If so, could you let me know the details? Also, have you arranged for someone to cover your work while you're gone?"", ""Great, thanks for letting me know. One last thing, what's the best way to contact you in case of an emergency? Also, when does this time off period start?"", 'No problem. How many total days will you be taking off?', 'Almost done! What type of time off are you requesting - vacation, sick leave, personal day? Also, will you be available at all during your time off in case we need to reach you?', ""Okay, just one more question. What is the reason for your time off? You don't have to provide one, but it may be needed for certain types of leave. Also, is there any other information you need to include?""]","['My time off will end on June 15th, 2023.', 'I have not taken any recent leave. John will cover my responsibilities.', 'You can contact me by email only. My time off will start on June 1st, 2023.', 'I will be taking 15 days off.', 'I am requesting vacation leave. I will have limited availability during my time off.', 'The reason for my time off is a family trip. There is no additional information to include.']","{'end_date': 'June 15th, 2023', 'previous_time_off': 'I have not taken any recent leave', 'work_handover_details': 'John will cover my responsibilities', 'emergency_contact_info': 'email', 'start_date': 'June 1st, 2023', 'total_days_off': '15', 'type_of_time_off': 'vacation leave', 'contact_availability': 'limited', 'reason_for_time_off': 'a family trip', 'additional_notes': 'no'}"
time_off_report,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","['HR Assistant: No problem. Can you provide me with the best way to contact you in case of an emergency, like your phone number or email address?', 'Employee: You can reach me by email.', 'HR Assistant: Sounds good. How many total days are you looking to take off?  ', ""Employee: I'm requesting 15 days off."", ""HR Assistant: Have you been able to find someone to cover your responsibilities while you're away?"", 'Employee: John will be covering my responsibilities.', 'HR Assistant: Do you mind if I ask when you plan on starting your time off?', 'Employee: My time off will start on June 15th, 2023. ', 'HR Assistant: Will you have limited availability to be contacted during your time away or will you be completely unreachable? Also, is there any other information I should know about your time off request?', 'Employee: I will have limited availability and there is no other information needed.', 'HR Assistant: One last question - are you requesting vacation time, sick leave or a personal day? Have you taken any other time off recently that I should be aware of?', ""Employee: I'm requesting vacation time and I have not taken any other time off recently."", 'HR Assistant: Lastly, can you tell me what the reason is for your time off? I also need the date you expect to return so I can have all the details.', 'Employee: The reason is for a family trip and my return date will be June 30th, 2023.']","[{'emergency_contact_info': 'email'}, {'total_days_off': '15'}, {'work_handover_details': 'John'}, {'start_date': 'June 15th, 2023'}, {'contact_availability': 'limited availability', 'additional_notes': 'no other information needed'}, {'type_of_time_off': 'vacation', 'previous_time_off': 'have not taken any other time off recently'}, {'reason_for_time_off': 'a family trip', 'end_date': 'June 30th, 2023'}]","['No problem. Can you provide me with the best way to contact you in case of an emergency, like your phone number or email address?', 'Sounds good. How many total days are you looking to take off?', ""Have you been able to find someone to cover your responsibilities while you're away?"", 'Do you mind if I ask when you plan on starting your time off?', 'Will you have limited availability to be contacted during your time away or will you be completely unreachable? Also, is there any other information I should know about your time off request?', 'One last question - are you requesting vacation time, sick leave or a personal day? Have you taken any other time off recently that I should be aware of?', 'Lastly, can you tell me what the reason is for your time off? I also need the date you expect to return so I can have all the details.']","['You can reach me by email.', ""I'm requesting 15 days off."", 'John will be covering my responsibilities.', 'My time off will start on June 15th, 2023.', 'I will have limited availability and there is no other information needed.', ""I'm requesting vacation time and I have not taken any other time off recently."", 'The reason is for a family trip and my return date will be June 30th, 2023.']","{'emergency_contact_info': 'email', 'total_days_off': '15', 'work_handover_details': 'John', 'start_date': 'June 15th, 2023', 'contact_availability': 'limited availability', 'additional_notes': 'no other information needed', 'type_of_time_off': 'vacation', 'previous_time_off': 'have not taken any other time off recently', 'reason_for_time_off': 'a family trip', 'end_date': 'June 30th, 2023'}"
time_off_report,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","['HR Assistant: No problem, have you taken any other time off recently? If so, feel free to let me know the details. When do you plan on starting your time off?', ""Employee: I haven't taken any other time off recently. I would like my time off to start on June 1st, 2023.  "", ""HR Assistant: Okay, great. And when do you think you'll be returning from your time off? Also, how available will you be for contact during that time, if needed?"", 'Employee: I plan to return on June 15th, 2023. During my time off, I will have limited availability for contact.', ""HR Assistant: Sounds good. In total, how many days will you be taking off? Have you arranged for coverage of your responsibilities while you're away?"", 'Employee: I will be taking a total of 15 days off. John has agreed to cover my responsibilities during that time.', 'HR Assistant: Alright, what type of time off are you requesting - vacation, sick leave, personal day? Is there any other information I should know about your request?  ', 'Employee: I am requesting vacation leave. There is no other additional information needed.', ""HR Assistant: Can I ask what the purpose or reason is for your time off? You don't have to share, but it may be needed depending on the type of leave. Also, what is the best way for me to contact you in an emergency - phone or email?"", 'Employee: The purpose of my time off is for a family trip. Please only contact me by email in an emergency.']","[{'previous_time_off': 'June 1st, 2023', 'start_date': 'June 1st, 2023'}, {'end_date': 'June 15th, 2023', 'contact_availability': 'limited'}, {'total_days_off': '15', 'work_handover_details': 'John'}, {'type_of_time_off': 'vacation', 'additional_notes': 'no other additional information needed'}, {'reason_for_time_off': 'a family trip', 'emergency_contact_info': 'email'}]","['No problem, have you taken any other time off recently? If so, feel free to let me know the details. When do you plan on starting your time off?', ""Okay, great. And when do you think you'll be returning from your time off? Also, how available will you be for contact during that time, if needed?"", ""Sounds good. In total, how many days will you be taking off? Have you arranged for coverage of your responsibilities while you're away?"", 'Alright, what type of time off are you requesting - vacation, sick leave, personal day? Is there any other information I should know about your request?', ""Can I ask what the purpose or reason is for your time off? You don't have to share, but it may be needed depending on the type of leave. Also, what is the best way for me to contact you in an emergency - phone or email?""]","[""I haven't taken any other time off recently. I would like my time off to start on June 1st, 2023."", 'I plan to return on June 15th, 2023. During my time off, I will have limited availability for contact.', 'I will be taking a total of 15 days off. John has agreed to cover my responsibilities during that time.', 'I am requesting vacation leave. There is no other additional information needed.', 'The purpose of my time off is for a family trip. Please only contact me by email in an emergency.']","{'previous_time_off': 'June 1st, 2023', 'start_date': 'June 1st, 2023', 'end_date': 'June 15th, 2023', 'contact_availability': 'limited', 'total_days_off': '15', 'work_handover_details': 'John', 'type_of_time_off': 'vacation', 'additional_notes': 'no other additional information needed', 'reason_for_time_off': 'a family trip', 'emergency_contact_info': 'email'}"
time_off_report,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[""HR Assistant: No problem, I'm happy to help. How many days are you looking to take off total? It would also help to have an email I can reach you at, just in case anything comes up."", ""Employee: I'm hoping to take 15 days. You can contact me by email."", ""HR Assistant: Got it, thanks for letting me know. I assume you've made arrangements to have your work covered while you're gone? Could you give me a little more detail on that? Also, if you don't mind me asking, when would you like this time off to start? "", 'Employee: Some of my colleagues have agreed to take on my responsibilities. My time off will start on June 1st, 2023.', 'HR Assistant: No problem. Have you had to take any other time off recently by chance? If so, could you give me a quick rundown? ', ""Employee: I haven't needed to take any other time off lately."", 'HR Assistant: Okay, great. What type of leave are you looking to use - vacation, sick leave, personal day? Also, will you be available at all if we need to contact you for anything?', 'Employee: I would like to use my vacation leave. I may be available with limited contact during my time off.', ""HR Assistant: No worries, just wanted to double check. If it's not too personal, what will you be using this time off for? Also, when do you plan on returning?"", 'Employee: This time off will be for a family vacation. I will return to work on June 15th, 2023.', 'HR Assistant: Sounds good! Is there anything else I need to know or can help with regarding your request?', ""Employee: No, I don't have any other notes.""]","[{'total_days_off': '15', 'emergency_contact_info': 'email'}, {'work_handover_details': 'Some of my colleagues', 'start_date': 'June 1st, 2023'}, {'previous_time_off': ""I haven't needed to take any other time off lately""}, {'type_of_time_off': 'vacation', 'contact_availability': 'may be available with limited contact'}, {'reason_for_time_off': 'family vacation'}, {'additional_notes': ""No, I don't have any other notes"", 'end_date': ""No, I don't have any other notes""}]","[""No problem, I'm happy to help. How many days are you looking to take off total? It would also help to have an email I can reach you at, just in case anything comes up."", ""Got it, thanks for letting me know. I assume you've made arrangements to have your work covered while you're gone? Could you give me a little more detail on that? Also, if you don't mind me asking, when would you like this time off to start?"", 'No problem. Have you had to take any other time off recently by chance? If so, could you give me a quick rundown?', 'Okay, great. What type of leave are you looking to use - vacation, sick leave, personal day? Also, will you be available at all if we need to contact you for anything?', ""No worries, just wanted to double check. If it's not too personal, what will you be using this time off for? Also, when do you plan on returning?"", 'Sounds good! Is there anything else I need to know or can help with regarding your request?']","[""I'm hoping to take 15 days. You can contact me by email."", 'Some of my colleagues have agreed to take on my responsibilities. My time off will start on June 1st, 2023.', ""I haven't needed to take any other time off lately."", 'I would like to use my vacation leave. I may be available with limited contact during my time off.', 'This time off will be for a family vacation. I will return to work on June 15th, 2023.', ""No, I don't have any other notes.""]","{'total_days_off': '15', 'emergency_contact_info': 'email', 'work_handover_details': 'Some of my colleagues', 'start_date': 'June 1st, 2023', 'previous_time_off': ""I haven't needed to take any other time off lately"", 'type_of_time_off': 'vacation', 'contact_availability': 'may be available with limited contact', 'reason_for_time_off': 'family vacation', 'additional_notes': ""No, I don't have any other notes"", 'end_date': ""No, I don't have any other notes""}"
time_off_report,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","['HR Assistant: No problem, when does your time away from work wrap up? If you could provide the end date in year-month-day format like 2023-06-15 that would be great. ', 'Employee: My time off will conclude on June 15th, 2023. ', 'HR Assistant: Okay, thanks for letting me know. During your time away, will you be easily reachable if needed or will you be pretty unavailable? Also, how many total days are you looking to take?  ', 'Employee: I will have limited availability during my time off, and I am requesting 15 days away from work.', 'HR Assistant: Got it, what type of time off is this - vacation, sick leave, personal day?  ', 'Employee: I am requesting vacation leave.', 'HR Assistant: No worries. Can you provide an email address I can use as an emergency contact method just in case?', 'Employee: You can use my email for any emergency contact during my time off.', ""HR Assistant: Last thing, is there a reason you're taking this time such as a family trip? Also feel free to include any other details that might be helpful."", 'Employee: I will be going on a family vacation. There are no other notes.', 'HR Assistant: Have you had any other time off recently that I should be aware of? If so, can you give me a quick overview?', 'Employee: I have not taken any other time off recently.  ', ""HR Assistant: Great, have you arranged for coverage of your responsibilities while you're away? If so, can you provide those details for me? And what date will your time off begin?"", 'Employee: John will be covering my responsibilities during my time off. My time away will start on June 1st, 2023.']","[{'end_date': 'June 15th, 2023'}, {'contact_availability': 'limited', 'total_days_off': '15'}, {'type_of_time_off': 'vacation'}, {'emergency_contact_info': 'email'}, {'reason_for_time_off': 'family vacation', 'additional_notes': 'no other notes'}, {'previous_time_off': 'I have not taken any other time off recently'}, {'work_handover_details': 'John', 'start_date': 'June 1st, 2023'}]","['No problem, when does your time away from work wrap up? If you could provide the end date in year-month-day format like 2023-06-15 that would be great.', 'Okay, thanks for letting me know. During your time away, will you be easily reachable if needed or will you be pretty unavailable? Also, how many total days are you looking to take?', 'Got it, what type of time off is this - vacation, sick leave, personal day?', 'No worries. Can you provide an email address I can use as an emergency contact method just in case?', ""Last thing, is there a reason you're taking this time such as a family trip? Also feel free to include any other details that might be helpful."", 'Have you had any other time off recently that I should be aware of? If so, can you give me a quick overview?', ""Great, have you arranged for coverage of your responsibilities while you're away? If so, can you provide those details for me? And what date will your time off begin?""]","['My time off will conclude on June 15th, 2023.', 'I will have limited availability during my time off, and I am requesting 15 days away from work.', 'I am requesting vacation leave.', 'You can use my email for any emergency contact during my time off.', 'I will be going on a family vacation. There are no other notes.', 'I have not taken any other time off recently.', 'John will be covering my responsibilities during my time off. My time away will start on June 1st, 2023.']","{'end_date': 'June 15th, 2023', 'contact_availability': 'limited', 'total_days_off': '15', 'type_of_time_off': 'vacation', 'emergency_contact_info': 'email', 'reason_for_time_off': 'family vacation', 'additional_notes': 'no other notes', 'previous_time_off': 'I have not taken any other time off recently', 'work_handover_details': 'John', 'start_date': 'June 1st, 2023'}"
time_off_report,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[""HR Assistant: No problem, let me see if I can help. What's the reason you'll be taking time off? And when do you plan on returning to work?"", ""Employee: I'll be taking a planned vacation and returning to work on June 15th, 2023.  "", ""HR Assistant: Great, I'm glad you'll be getting some time to relax and recharge. Have you made arrangements for others to cover your responsibilities while you're away?"", ""Employee: Yes, I've arranged for my coworkers to cover my responsibilities during my absence."", ""HR Assistant: That's good to hear that your coworkers can help out. Will you be available at all if urgent issues come up while you're off?  "", ""Employee: I'll have limited availability during my time off in case anything important comes up."", 'HR Assistant: No problem, thanks for letting me know. Is there anything else I should know about your time off request? What type of leave are you taking - vacation, sick leave, personal day?', ""Employee: There's no other information needed. I'm requesting vacation leave."", 'HR Assistant: Okay, great. Just to confirm, when does your vacation start?', 'Employee: My vacation will start on June 1st, 2023.', 'HR Assistant: No problem. Have you taken any other time off recently that I should be aware of? Also, how many total days will you be out of the office?', ""Employee: I haven't taken any other time off recently. The total number of days I'll be out is 15 days."", ""HR Assistant: Almost done here. Last thing - can you provide a contact email in case an emergency comes up while you're away?"", 'Employee: You can contact me by email only during my time off.']","[{'reason_for_time_off': 'planned vacation', 'end_date': 'June 15th, 2023'}, {'work_handover_details': 'coworkers'}, {'contact_availability': 'limited'}, {'additional_notes': 'no other information needed', 'type_of_time_off': 'vacation'}, {'start_date': 'June 1st, 2023'}, {'previous_time_off': '15 days', 'total_days_off': '15 days'}, {'emergency_contact_info': 'email'}]","[""No problem, let me see if I can help. What's the reason you'll be taking time off? And when do you plan on returning to work?"", ""Great, I'm glad you'll be getting some time to relax and recharge. Have you made arrangements for others to cover your responsibilities while you're away?"", ""That's good to hear that your coworkers can help out. Will you be available at all if urgent issues come up while you're off?"", 'No problem, thanks for letting me know. Is there anything else I should know about your time off request? What type of leave are you taking - vacation, sick leave, personal day?', 'Okay, great. Just to confirm, when does your vacation start?', 'No problem. Have you taken any other time off recently that I should be aware of? Also, how many total days will you be out of the office?', ""Almost done here. Last thing - can you provide a contact email in case an emergency comes up while you're away?""]","[""I'll be taking a planned vacation and returning to work on June 15th, 2023."", ""Yes, I've arranged for my coworkers to cover my responsibilities during my absence."", ""I'll have limited availability during my time off in case anything important comes up."", ""There's no other information needed. I'm requesting vacation leave."", 'My vacation will start on June 1st, 2023.', ""I haven't taken any other time off recently. The total number of days I'll be out is 15 days."", 'You can contact me by email only during my time off.']","{'reason_for_time_off': 'planned vacation', 'end_date': 'June 15th, 2023', 'work_handover_details': 'coworkers', 'contact_availability': 'limited', 'additional_notes': 'no other information needed', 'type_of_time_off': 'vacation', 'start_date': 'June 1st, 2023', 'previous_time_off': '15 days', 'total_days_off': '15 days', 'emergency_contact_info': 'email'}"
time_off_report,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","['HR Assistant: No problem, what kind of time are you looking to take? A vacation maybe? How many days will you need total?  ', ""Employee: Yes, I'd like to request a vacation for 15 days."", ""HR Assistant: Got it. Can you let me know what you have planned for your time off? You don't have to give details if you don't want to. Also, when would you like your vacation to start? Just give me the date."", ""Employee: I'm taking my family on a trip. My vacation will start on June 15th, 2023.  "", 'HR Assistant: Okay, and when do you plan to return? Go ahead and give me the return date too please.', 'Employee: I will return on June 30th, 2023.', ""HR Assistant: Great, have you made arrangements for someone to cover your work while you're gone? If so, who will be helping out?"", 'Employee: John will be covering my responsibilities.', ""HR Assistant: No problem. Have you taken any other time off recently that I should be aware of? Also, what's the best way to contact you in case an emergency comes up?"", 'Employee: I have not taken any other time off recently. Please contact me by email only.', 'HR Assistant: Got it. During your vacation, will you have limited availability or be unreachable? Is there anything else you need to let me know about regarding your time off request?', 'Employee: I will have limited availability. There is no additional information.']","[{'type_of_time_off': 'vacation', 'total_days_off': '15'}, {'reason_for_time_off': ""I'm taking my family on a trip"", 'start_date': 'June 15th, 2023'}, {'end_date': 'June 30th, 2023'}, {'work_handover_details': 'John'}, {'previous_time_off': 'Please contact me by email only', 'emergency_contact_info': 'email'}, {'contact_availability': 'limited availability', 'additional_notes': 'no additional information'}]","['No problem, what kind of time are you looking to take? A vacation maybe? How many days will you need total?', ""Got it. Can you let me know what you have planned for your time off? You don't have to give details if you don't want to. Also, when would you like your vacation to start? Just give me the date."", 'Okay, and when do you plan to return? Go ahead and give me the return date too please.', ""Great, have you made arrangements for someone to cover your work while you're gone? If so, who will be helping out?"", ""No problem. Have you taken any other time off recently that I should be aware of? Also, what's the best way to contact you in case an emergency comes up?"", 'Got it. During your vacation, will you have limited availability or be unreachable? Is there anything else you need to let me know about regarding your time off request?']","[""Yes, I'd like to request a vacation for 15 days."", ""I'm taking my family on a trip. My vacation will start on June 15th, 2023."", 'I will return on June 30th, 2023.', 'John will be covering my responsibilities.', 'I have not taken any other time off recently. Please contact me by email only.', 'I will have limited availability. There is no additional information.']","{'type_of_time_off': 'vacation', 'total_days_off': '15', 'reason_for_time_off': ""I'm taking my family on a trip"", 'start_date': 'June 15th, 2023', 'end_date': 'June 30th, 2023', 'work_handover_details': 'John', 'previous_time_off': 'Please contact me by email only', 'emergency_contact_info': 'email', 'contact_availability': 'limited availability', 'additional_notes': 'no additional information'}"
time_off_report,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[""HR Assistant: No problem, I'm happy to help. How many days are you looking to take off total? Will you be available at all during that time if we need to contact you for anything?"", ""Employee: I'm requesting 8 days off. I should be reachable by email if anything comes up.  "", 'HR Assistant: Okay, thanks for letting me know. Just in case, would you mind providing that email so we have it on file?', ""Employee: Sure, it's myname@email.com."", 'HR Assistant: Great, thanks. Do you need to add anything else about the request?', 'Employee: No, I think that covers it.', 'HR Assistant: Alright, what type of time are you looking to take - vacation, sick leave, personal day? And what date will your time off end?', ""Employee: I'm requesting vacation leave. My time off will end on June 22nd, 2023."", ""HR Assistant: No problem. Would you be willing to share what the vacation is for, just so we have an idea? You don't have to if you'd rather keep it private."", ""Employee: It's for a family trip we have planned."", ""HR Assistant: Okay, thanks for sharing. Have you made arrangements for someone to cover your work while you're gone? And when does the time off start?"", ""Employee: John said he'd cover anything that comes up. My time off will start on June 15th, 2023.  "", 'HR Assistant: Almost done, have you taken any other time off recently that I should be aware of?', 'Employee: No, this will be my first time off this year.']","[{'total_days_off': '8', 'contact_availability': 'email'}, {'emergency_contact_info': 'myname@email.com'}, {'additional_notes': 'No'}, {'type_of_time_off': 'vacation leave', 'end_date': 'June 22nd, 2023'}, {'reason_for_time_off': ""It's for a family trip""}, {'work_handover_details': 'John', 'start_date': 'June 15th, 2023'}, {'previous_time_off': 'No, this will be my first time off this year'}]","[""No problem, I'm happy to help. How many days are you looking to take off total? Will you be available at all during that time if we need to contact you for anything?"", 'Okay, thanks for letting me know. Just in case, would you mind providing that email so we have it on file?', 'Great, thanks. Do you need to add anything else about the request?', 'Alright, what type of time are you looking to take - vacation, sick leave, personal day? And what date will your time off end?', ""No problem. Would you be willing to share what the vacation is for, just so we have an idea? You don't have to if you'd rather keep it private."", ""Okay, thanks for sharing. Have you made arrangements for someone to cover your work while you're gone? And when does the time off start?"", 'Almost done, have you taken any other time off recently that I should be aware of?']","[""I'm requesting 8 days off. I should be reachable by email if anything comes up."", ""Sure, it's myname@email.com."", 'No, I think that covers it.', ""I'm requesting vacation leave. My time off will end on June 22nd, 2023."", ""It's for a family trip we have planned."", ""John said he'd cover anything that comes up. My time off will start on June 15th, 2023."", 'No, this will be my first time off this year.']","{'total_days_off': '8', 'contact_availability': 'email', 'emergency_contact_info': 'myname@email.com', 'additional_notes': 'No', 'type_of_time_off': 'vacation leave', 'end_date': 'June 22nd, 2023', 'reason_for_time_off': ""It's for a family trip"", 'work_handover_details': 'John', 'start_date': 'June 15th, 2023', 'previous_time_off': 'No, this will be my first time off this year'}"
